model,cohort,z score correction,balanced acc,auc,recall_pos,recall_neg
CNN,AUGSBURG,off,,,,
CNN,SWISS,off,,,,
CNN,POOLED,off,,,,
CNN,AUGSBURG,on,,,,
CNN,SWISS,on,,,,
CNN,POOLED,on,,,,
A,AUGSBURG,off,,,,
A,SWISS,off,,,,
A,POOLED,off,,,,
A,AUGSBURG,on,,,,
A,SWISS,on,,,,
A,POOLED,on,,,,
B,AUGSBURG,off,,,,
B,SWISS,off,,,,
B,POOLED,off,,,,
B,AUGSBURG,on,,,,
B,SWISS,on,,,,
B,POOLED,on,,,,
C,AUGSBURG,off,,,,
C,SWISS,off,,,,
C,POOLED,off,,,,
C,AUGSBURG,on,,,,
C,SWISS,on,,,,
C,POOLED,on,,,,
D,AUGSBURG,off,,,,
D,SWISS,off,,,,
D,POOLED,off,,,,
D,AUGSBURG,on,,,,
D,SWISS,on,,,,
D,POOLED,on,,,,
