Approach,Image correction,Prob correction,AUC,Bal Acc,Recall (+),Recall (-)
CNN,none,none,0.853 +/- 0.025 ,0.594 +/- 0.113,0.916 +/- 0.145,0.273 +/- 0.348
CNN,none,z-score,0.853 +/- 0.025,0.759 +/- 0.039,0.645 +/- 0.151,0.873 +/- 0.146
CNN,z-score,none,0.893 +/- 0.019 ,0.747 +/- 0.068,0.582 +/- 0.200,0.912 +/- 0.130
CNN,z-score,z-score,0.893 +/- 0.019 ,0.750 +/- 0.055,0.612 +/- 0.149,0.888 +/- 0.181
CNN,Histogram,none,0.885 +/- 0.020,0.735 +/- 0.068,0.539 +/- 0.194,0.930 +/- 0.096
CNN,Histogram,z-score,0.885 +/- 0.020,0.745 +/- 0.055,0.600 +/- 0.157,0.891 +/- 0.190
A,none,none,0.769 +/- 0.049,0.705 +/- 0.060,0.676 +/- 0.092,0.733 +/- 0.120
A,none,z-score,0.769 +/- 0.049,0.698 +/- 0.057,0.651 +/- 0.071,0.745 +/- 0.103
A,z-score,none,0.801 +/- 0.046,0.714 +/- 0.041,0.443 +/- 0.081,0.985 +/- 0.034
A,z-score,z-score,0.801 +/- 0.046,0.752 +/- 0.037,0.555 +/- 0.052,0.948 +/- 0.056
A,Histogram,none,0.804 +/- 0.047,0.706 +/- 0.036,0.412 +/- 0.071,1.000 +/- 0.000
A,Histogram,z-score,0.804 +/- 0.047,0.770 +/- 0.042,0.555 +/- 0.062,0.985 +/- 0.041
B,none,none,0.690 +/- 0.077,0.669 +/- 0.080,0.408 +/- 0.172,0.930 +/- 0.114
B,none,z-score,0.690 +/- 0.077,0.672 +/- 0.088,0.508 +/- 0.108,0.836 +/- 0.127
B,z-score,none,0.740 +/- 0.065,0.673 +/- 0.079,0.600 +/- 0.119,0.745 +/- 0.178
B,z-score,z-score,0.740 +/- 0.065,0.687 +/- 0.084,0.622 +/- 0.071,0.752 +/- 0.152
B,Histogram,none,0.738 +/- 0.063,0.699 +/- 0.061,0.553 +/- 0.106,0.845 +/- 0.147
B,Histogram,z-score,0.738 +/- 0.063,0.720 +/- 0.057,0.606 +/- 0.057,0.833 +/- 0.113
C,none,none,0.805 +/- 0.048,0.698 +/- 0.051,0.786 +/- 0.065,0.609 +/- 0.094
C,none,z-score,0.805 +/- 0.048,0.750 +/- 0.051,0.755 +/- 0.073,0.745 +/- 0.064
C,z-score,none,0.786 +/- 0.044,0.713 +/- 0.026,0.431 +/- 0.044,0.994 +/- 0.023
C,z-score,z-score,0.786 +/- 0.044,0.724 +/- 0.038,0.484 +/- 0.045,0.964 +/- 0.050
C,Histogram,none,0.775 +/- 0.049,0.714 +/- 0.020,0.427 +/- 0.040,1.000 +/- 0.000
C,Histogram,z-score,0.775 +/- 0.049,0.742 +/- 0.033,0.502 +/- 0.047,0.982 +/- 0.036
