model,cohort,z score correction,balanced acc,auc,recall_pos,recall_neg
CNN,AUGSBURG,off,0.718,0.764,0.575,0.862
CNN,PRE-RAPID,off,0.669,0.721,0.838,0.500
CNN,SWISS,off,0.633,0.692,0.482,0.784
CNN,POOLED,off,0.673,0.726,0.632,0.715
CNN,AUGSBURG,on,0.712,0.808,0.700,0.723
CNN,PRE-RAPID,on,0.652,0.704,0.438,0.867
CNN,SWISS,on,0.661,0.716,0.546,0.776
CNN,POOLED,on,0.675,0.743,0.561,0.789
A,AUGSBURG,off,0.706,0.696,0.558,0.854
A,PRE-RAPID,off,0.588,0.683,0.625,0.550
A,SWISS,off,0.544,0.527,0.379,0.708
A,POOLED,off,0.612,0.635,0.521,0.704
A,AUGSBURG,on,0.702,0.687,0.542,0.862
A,PRE-RAPID,on,0.583,0.680,0.300,0.867
A,SWISS,on,0.590,0.630,0.477,0.704
A,POOLED,on,0.625,0.666,0.440,0.811
B,AUGSBURG,off,0.698,0.665,0.450,0.946
B,PRE-RAPID,off,0.660,0.742,0.438,0.883
B,SWISS,off,0.641,0.628,0.454,0.828
B,POOLED,off,0.666,0.678,0.447,0.886
B,AUGSBURG,on,0.706,0.743,0.450,0.962
B,PRE-RAPID,on,0.669,0.690,0.338,1.000
B,SWISS,on,0.659,0.690,0.533,0.784
B,POOLED,on,0.678,0.707,0.440,0.915
C,AUGSBURG,off,0.768,0.854,0.567,0.969
C,PRE-RAPID,off,0.535,0.615,0.988,0.083
C,SWISS,off,0.563,0.494,0.341,0.784
C,POOLED,off,0.622,0.654,0.632,0.612
C,AUGSBURG,on,0.752,0.851,0.758,0.746
C,PRE-RAPID,on,0.600,0.656,0.600,0.600
C,SWISS,on,0.552,0.524,0.413,0.692
C,POOLED,on,0.635,0.677,0.590,0.679
