Approach,Image correction,Prob correction,AUC,Bal Acc,Recall (+),Recall (-)
CNN,none,none,0.867 +/- 0.024,0.682 +/- 0.127,0.904 +/- 0.114,0.461 +/- 0.341
CNN,none,z-score,0.867 +/- 0.024,0.766 +/- 0.052,0.637 +/- 0.125,0.894 +/- 0.159
CNN,z-score,none,0.911 +/- 0.023,0.753 +/- 0.045,0.549 +/- 0.128,0.958 +/- 0.090
CNN,z-score,z-score,0.911 +/- 0.023,0.751 +/- 0.042,0.573 +/- 0.134,0.930 +/- 0.157
CNN,Histogram,none,0.904 +/- 0.024,0.733 +/- 0.045,0.490 +/- 0.126,0.976 +/- 0.084
CNN,Histogram,z-score,0.904 +/- 0.024,0.738 +/- 0.047,0.555 +/- 0.136,0.921 +/- 0.190
A,none,none,0.816 +/- 0.058,0.761 +/- 0.062,0.716 +/- 0.104,0.806 +/- 0.117
A,none,z-score,0.816 +/- 0.058,0.770 +/- 0.062,0.671 +/- 0.067,0.870 +/- 0.090
A,z-score,none,0.804 +/- 0.037,0.737 +/- 0.041,0.482 +/- 0.088,0.991 +/- 0.027
A,z-score,z-score,0.804 +/- 0.037,0.774 +/- 0.040,0.569 +/- 0.076,0.979 +/- 0.051
A,Histogram,none,0.801 +/- 0.038,0.707 +/- 0.046,0.414 +/- 0.093,1.000 +/- 0.000
A,Histogram,z-score,0.801 +/- 0.038,0.762 +/- 0.041,0.527 +/- 0.078,0.997 +/- 0.016
B,none,none,0.755 +/- 0.079,0.668 +/- 0.071,0.357 +/- 0.150,0.979 +/- 0.051
B,none,z-score,0.755 +/- 0.079,0.705 +/- 0.066,0.486 +/- 0.105,0.924 +/- 0.075
B,z-score,none,0.756 +/- 0.056,0.671 +/- 0.084,0.702 +/- 0.132,0.639 +/- 0.209
B,z-score,z-score,0.756 +/- 0.056,0.688 +/- 0.088,0.676 +/- 0.096,0.700 +/- 0.152
B,Histogram,none,0.756 +/- 0.074,0.681 +/- 0.069,0.620 +/- 0.168,0.742 +/- 0.192
B,Histogram,z-score,0.756 +/- 0.074,0.701 +/- 0.080,0.641 +/- 0.096,0.761 +/- 0.134
C,none,none,0.801 +/- 0.038,0.679 +/- 0.053,0.806 +/- 0.053,0.552 +/- 0.110
C,none,z-score,0.801 +/- 0.038,0.725 +/- 0.045,0.741 +/- 0.042,0.709 +/- 0.079
C,z-score,none,0.780 +/- 0.037,0.726 +/- 0.022,0.455 +/- 0.043,0.997 +/- 0.016
C,z-score,z-score,0.780 +/- 0.037,0.744 +/- 0.029,0.516 +/- 0.039,0.973 +/- 0.048
C,Histogram,none,0.782 +/- 0.032,0.719 +/- 0.024,0.437 +/- 0.047,1.000 +/- 0.000
C,Histogram,z-score,0.782 +/- 0.032,0.758 +/- 0.021,0.522 +/- 0.042,0.994 +/- 0.023
